date,value,total_closed_pnl,total_size_usd,trade_count,classification
2023-03-28,59.0,0.0,477.0,3,Greed
2023-11-14,69.0,155.50335699999994,11555429.76,1045,Greed
2024-03-09,84.0,176965.491774,39406770.25,6962,Extreme Greed
2024-07-03,50.0,158742.378078,21843234.35,7141,Neutral
2024-10-27,74.0,3189461.032019,103947765.09,35241,Greed
2025-02-19,44.0,6699925.190574,704158492.98,133871,Fear
